,Номенклатура,КлассТовара
0,6a2b4808-ca2b-45cb-bf37-253f64e373c3,Наиболее продаваемый
1,59b0fda4-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
2,46d03f88-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
3,983d2224-9a89-4f83-991e-5e240251d3c5,Наиболее продаваемый
4,972fd355-5782-48cb-9697-3f710e3ba6a6,Наиболее продаваемый
5,9b8f5021-b9f2-11de-bd70-00151716f9f5,Наиболее продаваемый
6,d3cf6df8-7dc8-11db-9934-00001a1933df,Наиболее продаваемый
7,b05c4bdd-8757-11dc-abed-00151716f9f5,Наиболее продаваемый
8,72dcc8cb-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
9,968fc83b-a8ad-11de-bd70-00151716f9f5,Наиболее продаваемый
10,cb998abc-cf99-11dc-9e96-00151716f9f5,Наиболее продаваемый
11,8e6cdf16-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
12,58c57cc5-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
13,59b0fda3-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
14,1fe5eba3-c2f0-11e0-a22a-001517c526f0,Наиболее продаваемый
15,939226de-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
16,86edb97b-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
17,58c57ccc-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
18,d6c41c2f-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
19,d078663b-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
20,dfcdaffc-87f6-11e0-a3c6-00155d030b07,Наиболее продаваемый
21,2af92f4b-3afc-430a-9bd0-f6b3c2368749,Наиболее продаваемый
22,eac261cc-099c-11df-a185-00151716f9f5,Наиболее продаваемый
23,5f794d33-8a4e-11df-856b-001517c526f0,Наиболее продаваемый
24,939226dd-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
25,8e632192-2533-11dd-9e43-00151716f9f5,Наиболее продаваемый
26,58c57cd4-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
27,b4df1cf7-8b07-11df-b4cc-001517c526f0,Наиболее продаваемый
28,a4c90a11-fcc8-11da-95fe-0002b3552d75,Наиболее продаваемый
29,87262412-e7c6-11db-916b-00001a1933df,Наиболее продаваемый
30,d2eb5a99-bfb8-11db-9d5d-00173147c81e,Наиболее продаваемый
31,d2eb5a98-bfb8-11db-9d5d-00173147c81e,Наиболее продаваемый
32,68d72626-07c4-11db-873b-0002b3552d75,Наиболее продаваемый
33,86edb9c7-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
34,1df585fb-53ab-11dd-8a13-00151716f9f5,Наиболее продаваемый
35,58c57cdd-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
36,8e6cdeef-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
37,1c5bb0ca-96a9-11de-8bef-00151716f9f5,Наиболее продаваемый
38,86edb9a9-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
39,46d03f8b-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
40,46d03f83-bba3-11da-ab47-0002b3552d75,Наиболее продаваемый
41,9a59dbef-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
42,dd3f808b-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
43,d53109c4-d1c3-11e0-bc27-001517c526f0,Наиболее продаваемый
44,9666ed04-2670-11df-beba-001517c526f1,Наиболее продаваемый
45,58c57cca-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
46,dd3f8089-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
47,0ba0ed55-07ff-11db-873b-0002b3552d75,Наиболее продаваемый
48,86edb9c4-797d-11e1-84e2-001517c526f0,Наиболее продаваемый
49,58c57cd2-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
50,d6c41c45-bba2-11da-ab47-0002b3552d75,Наиболее продаваемый
51,58c57cdb-0713-11df-9cf0-00151716f9f5,Наиболее продаваемый
52,87262411-e7c6-11db-916b-00001a1933df,Наиболее продаваемый
